,date,map,o_player1,o_player1_agent,o_player2,o_player2_agent,o_player3,o_player3_agent,o_player4,o_player4_agent,o_player5,o_player5_agent,o_team,player1,player1_agent,player2,player2_agent,player3,player3_agent,player4,player4_agent,player5,player5_agent,result,team
4002,26-02-21,Bind,cheatcode,raze,SugoiTkapp,sova,Complex,omen,Xyph9r,cypher,Neon,jett,SPL,NiSMO,raze,dazzLe,sova,wippie,omen,payen,cypher,chase,phoenix,Win,GHOST
4003,26-02-21,Haven,Yoshii,jett,Korsonix,cypher,GLYPH,omen,Awkua,phoenix,BearZ,sova,LRS,xeta,jett,mitch,breach,vice,killjoy,Relyks,phoenix,leaf,omen,Win,C9
4004,26-02-21,Icebox,Korsonix,killjoy,Yoshii,jett,Awkua,phoenix,GLYPH,omen,BearZ,sova,LRS,leaf,omen,Relyks,raze,xeta,jett,mitch,killjoy,vice,sova,Win,C9
4005,26-02-21,Bind,HiepHop,raze,Campion,jett,Kayros,cypher,Cade3k,omen,Cdubstah,sova,ELYS,Bjor,killjoy,Critical,sova,robwiz,jett,Will,raze,pho,omen,Win,BBG
4006,26-02-21,Ascent,HiepHop,phoenix,Cade3k,omen,Cdubstah,sova,Campion,jett,Kayros,cypher,ELYS,robwiz,jett,Will,reyna,Bjor,killjoy,Critical,sova,pho,omen,Win,BBG
4007,26-02-21,Icebox,jammyz,jett,KOLER,killjoy,TiGG,sova,Dcop,sage,bdog,omen,BC,tetchra,jett,Trick,raze,MARIO,sova,atlas,sage,ZK,omen,Lose,AKEL
4008,26-02-21,Ascent,KOLER,cypher,jammyz,jett,TiGG,sova,bdog,omen,Dcop,phoenix,BC,tetchra,jett,ZK,omen,Trick,raze,atlas,cypher,MARIO,sova,Lose,AKEL
4009,26-02-21,Icebox,Jben,killjoy,Sora,reyna,brisk,viper,rev0h,sage,duck,jett,ARCH,Sayaplayer,jett,Skadoodle,raze,DaZeD,sova,curry,viper,autimatic,sage,Win,T1
4010,26-02-21,Haven,brisk,sova,Jben,omen,rev0h,cypher,duck,phoenix,Sora,jett,ARCH,Sayaplayer,jett,DaZeD,sova,Skadoodle,breach,curry,cypher,autimatic,omen,Win,T1
4011,26-02-21,Haven,thomas,omen,nillyaz,phoenix,Zebroe,sova,foreplay,cypher,Hira,jett,GT,Rossy,sova,truo,omen,mickle,jett,Huston,phoenix,krZ QQ,cypher,Win,FRIC
4012,26-02-21,Bind,foreplay,cypher,Zebroe,sova,Hira,raze,nillyaz,phoenix,thomas,omen,GT,mickle,raze,Rossy,sova,truo,omen,Huston,phoenix,krZ QQ,cypher,Win,FRIC
4013,26-02-21,Ascent,Governor,phoenix,LeviathanAG,sova,n4ts,killjoy,gucc107,omen,jcrueL,jett,OTW,tex,phoenix,mina,jett,DXN,killjoy,cutefatboy,sova,Paincakes,omen,Lose,NOX
4014,26-02-21,Bind,jcrueL,jett,Governor,phoenix,LeviathanAG,sova,gucc107,omen,n4ts,cypher,OTW,Paincakes,omen,mina,raze,tex,phoenix,cutefatboy,sova,DXN,cypher,Win,NOX
4015,26-02-21,Icebox,n4ts,killjoy,Governor,sage,LeviathanAG,sova,jcrueL,jett,gucc107,omen,OTW,DXN,sage,cutefatboy,omen,tex,reyna,mina,sova,Paincakes,viper,Lose,NOX
4016,26-02-21,Icebox,Morgausse,sage,Grego,raze,Dani,brimstone,Kurt,sova,Ninja,killjoy,TI,ANDROID,raze,Shanks,jett,daps,killjoy,s0m,omen,eeiu,sova,Win,NRG
